nodeId,roundId,good,seqNum,active,light,value,readyOut
13,12,true,23,false,true,0,1
21,12,false,116,true,true,0,1
4,12,true,30,false,true,0,1
9,12,true,125,true,true,0,1
1,12,true,39,false,true,0,1
6,12,true,124,true,true,0,1
18,12,true,36,false,true,0,1
15,12,true,34,false,true,0,1
5,12,true,30,false,true,0,1
16,12,true,34,false,true,1,1
14,12,true,30,false,true,0,1
8,12,true,37,false,true,0,1
19,12,true,124,true,true,0,1
17,12,true,34,false,true,0,1
11,12,true,27,false,true,0,1
20,12,true,127,true,true,0,1
12,12,true,32,false,true,0,1
3,12,true,119,true,true,0,1
7,12,true,127,true,true,0,1
10,12,true,122,true,true,0,1
2,12,true,28,false,true,0,1
